machine_id,machine_type,timestamp,cycle,temperature_C,vibration_mm_s,pressure_psi,current_A,rpm,health_state,RUL,failure
M001,CNC_Lathe,2025-01-07 01:00:00,1,61.14,2.12,98.53,15.83,1418.3,Healthy,298,0
M001,CNC_Lathe,2025-01-07 02:00:00,2,60.65,2.127,100.03,15.95,1448.7,Healthy,297,0
M001,CNC_Lathe,2025-01-07 03:00:00,3,61.44,2.102,99.26,16.3,1428.4,Healthy,296,0
M001,CNC_Lathe,2025-01-07 04:00:00,4,60.51,2.133,100.49,16.4,1417.7,Healthy,295,0
M001,CNC_Lathe,2025-01-07 05:00:00,5,63.52,2.094,99.81,16.84,1408.5,Healthy,294,0
M001,CNC_Lathe,2025-01-07 06:00:00,6,61.87,1.9,99.4,16.59,1437.8,Healthy,293,0
M001,CNC_Lathe,2025-01-07 07:00:00,7,61.84,2.084,100.94,15.92,1416.0,Healthy,292,0
M001,CNC_Lathe,2025-01-07 08:00:00,8,61.2,2.201,101.91,15.81,1431.6,Healthy,291,0
M001,CNC_Lathe,2025-01-07 09:00:00,9,61.28,2.028,102.31,16.93,1440.7,Healthy,290,0
M001,CNC_Lathe,2025-01-07 10:00:00,10,60.83,2.065,101.89,16.91,1419.6,Healthy,289,0
M001,CNC_Lathe,2025-01-07 11:00:00,11,61.48,1.985,99.6,16.84,1447.1,Healthy,288,0
M001,CNC_Lathe,2025-01-07 12:00:00,12,61.59,2.196,101.94,16.26,1432.2,Healthy,287,0
M001,CNC_Lathe,2025-01-07 13:00:00,13,63.2,2.092,103.74,15.47,1439.1,Healthy,286,0
M001,CNC_Lathe,2025-01-07 14:00:00,14,61.75,2.066,101.53,15.72,1423.5,Healthy,285,0
M001,CNC_Lathe,2025-01-07 15:00:00,15,62.02,2.243,100.62,16.19,1419.2,Healthy,284,0
M001,CNC_Lathe,2025-01-07 16:00:00,16,62.58,2.129,100.6,16.72,1428.2,Healthy,283,0
M001,CNC_Lathe,2025-01-07 17:00:00,17,62.63,2.025,100.9,16.36,1404.8,Healthy,282,0
M001,CNC_Lathe,2025-01-07 18:00:00,18,61.96,2.122,101.4,16.42,1405.5,Healthy,281,0
M001,CNC_Lathe,2025-01-07 19:00:00,19,61.24,2.061,100.19,16.45,1432.8,Healthy,280,0
M001,CNC_Lathe,2025-01-07 20:00:00,20,63.55,2.113,101.78,16.49,1398.0,Healthy,279,0
M001,CNC_Lathe,2025-01-07 21:00:00,21,61.64,2.102,105.09,16.44,1431.3,Healthy,278,0
M001,CNC_Lathe,2025-01-07 22:00:00,22,61.63,1.979,103.11,16.82,1438.6,Healthy,277,0
M001,CNC_Lathe,2025-01-07 23:00:00,23,60.75,2.236,99.29,16.75,1459.6,Healthy,276,0
M001,CNC_Lathe,2025-01-08 00:00:00,24,60.67,2.039,101.54,16.31,1403.5,Healthy,275,0
M001,CNC_Lathe,2025-01-08 01:00:00,25,61.73,1.989,102.11,16.15,1450.0,Healthy,274,0
M001,CNC_Lathe,2025-01-08 02:00:00,26,60.88,2.063,102.62,16.02,1430.2,Healthy,273,0
M001,CNC_Lathe,2025-01-08 03:00:00,27,62.97,1.935,101.67,16.62,1438.5,Healthy,272,0
M001,CNC_Lathe,2025-01-08 04:00:00,28,60.43,1.964,102.18,16.63,1430.5,Healthy,271,0
M001,CNC_Lathe,2025-01-08 05:00:00,29,62.01,2.028,101.74,16.63,1416.0,Healthy,270,0
M001,CNC_Lathe,2025-01-08 06:00:00,30,63.53,2.143,99.61,16.78,1412.1,Healthy,269,0
M001,CNC_Lathe,2025-01-08 07:00:00,31,62.45,2.212,100.16,16.9,1433.0,Healthy,268,0
M001,CNC_Lathe,2025-01-08 08:00:00,32,62.49,2.285,101.03,16.21,1413.4,Healthy,267,0
